Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
29	9686.796	17703.99	33814.87	-8167.23	222.33333	6134.428	2151.839	11628.616	2498.2327	30000	-2.0503998e-08	104439610.0	-0.016835183	-24045136.0	0.0039429576	0.0	3283.8250827789307
30	14541.44	22884.928	40736.754	-8481.009	199.5	2618.349	2999.6284	8425.988	-5542.426	31000	1.0251999e-08	135879470.0	-0.01277955	-19368664.0	0.0039882483	0.0	3395.458954334259
31	35584.35	19953.553	49160.598	1158.2195	237.5	5793.901	2079.826	10748.176	2453.6948	32000	1.7881393e-09	133149930.0	-0.014503172	-43726510.0	0.0046311044	0.0	3501.2561552524567
32	13019.989	32332.836	54224.125	-16780.4	173.8	10979.46	4180.4414	26442.363	4407.788	33000	-7.152557e-09	246261620.0	-0.013141505	-104976450.0	0.005580835	0.0	3602.039515018463
33	53433.184	2388.8672	57416.53	51227.387	208.0	6250.957	3987.8628	15634.274	-10994.333	34000	4.053116e-09	248556480.0	-0.016810913	-148745970.0	0.0042482587	0.0	3714.113894701004
34	15211.464	29606.688	54180.863	-10281.542	146.0	18329.752	4858.9087	32453.35	9931.514	35000	3.3378602e-09	264714820.0	-0.013524216	-140211200.0	0.004461569	0.0	3835.264113664627
35	42814.094	7892.6025	48849.6	31664.967	296.66666	5159.141	6876.7065	17991.93	-9110.1	36000	-4.053116e-09	153988590.0	-0.009832644	-27111456.0	0.004835352	0.0	3946.109457731247
36	8825.955	22482.555	52859.13	-7774.68	182.4	12047.082	4636.379	23586.91	1435.2441	37000	-4.053116e-08	194311740.0	-0.024838418	-96910590.0	0.006782388	0.0	4053.0306255817413
37	43502.676	21802.693	56548.496	-0.89548373	164.0	5325.07	1969.3403	11272.127	-16207.315	38000	1.8835069e-08	285384200.0	-0.017049773	-121454110.0	0.005642161	0.0	4168.973384618759
38	53620.08	461.84943	54221.258	53098.367	282.33334	11837.904	5405.269	23424.54	-2395.1243	39000	-1.2397766e-08	85748350.0	-0.018667102	-6506872.0	0.0050049867	0.0	4271.010254144669
39	27679.03	26856.432	56708.934	-723.7885	201.25	15931.327	4011.6128	27392.816	720.0798	40000	3.695488e-08	231816430.0	-0.01698922	-92144340.0	0.0054948465	0.0	4372.525113105774
