Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	55258.27	2717.5881	58658.57	52006.863	272.0	15283.037	4652.254	25480.615	2911.3252	28000	3.5762786e-09	115004970.0	-0.007956969	-1781256.0	0.61530113	0.016472388	0.188	16.0	3202.0896978378296
28	35786.895	28498.63	57271.63	-4486.181	291.33334	15983.422	4391.185	26194.814	6796.643	29000	-1.525879e-08	148825100.0	-0.011786473	-24362544.0	0.6065269	0.012602192	0.097	79.0	3314.140776872635
29	42100.973	28272.46	63871.6	2172.1096	302.0	11890.166	3459.9265	18395.285	4749.9463	30000	2.6226044e-09	147901970.0	-0.008866621	-1359264.0	0.6445066	0.009279503	0.072	79.0	3428.232399702072
30	85050.37	0.0	85050.37	85050.37	1000.0	12355.534	2172.0532	18477.324	4309.3784	31000	-8.8214875e-09	11629865.0	-0.011021614	-7219302.5	0.20257568	0.009908468	0.046	79.0	3543.3986439704895
31	16321.972	30298.191	58639.094	-10660.383	265.33334	9509.154	2984.7883	15043.59	3497.5278	32000	1.2397766e-08	120099176.0	-0.013131358	-15115088.0	0.6056558	0.0075382944	0.087	79.0	3657.3498628139496
32	24947.5	35158.938	62327.156	-10697.351	240.5	6523.985	2099.654	10103.519	1360.4673	33000	-8.106232e-09	192925540.0	-0.0025427246	-7360288.0	0.64070654	0.015463641	0.171	5.0	3771.1237189769745
33	22597.242	25068.51	58040.21	4174.2236	285.33334	8679.481	2414.4927	13104.22	2892.073	34000	1.0371208e-08	98350870.0	-0.018591302	-3238296.0	0.63348925	0.01524855	0.119	77.0	3884.8334999084473
34	41870.113	27345.896	61478.086	3198.4531	286.33334	7212.487	2073.3833	10941.212	1877.2433	35000	1.2874604e-08	146165730.0	-0.0020023016	-24428160.0	0.5364362	0.017168555	0.177	5.0	3997.083555698395
35	56602.473	1661.2212	58137.574	54294.766	247.0	11046.915	2923.5312	16297.914	1876.6271	36000	2.4914742e-08	138985310.0	-0.0123902885	-29044328.0	0.54523855	-0.0005332477	0.057	79.0	4110.573891162872
36	57998.22	1269.9388	59410.52	56331.25	298.66666	16158.572	3589.9917	23918.236	5318.3457	37000	2.0980835e-08	92443656.0	-0.0144379465	-3269648.0	0.5371886	0.01509129	0.091	79.0	4222.800750017166
37	33492.25	25064.766	59025.82	4725.046	247.0	16795.553	3395.9626	24176.498	5378.2783	38000	9.298325e-09	143387700.0	-0.01871202	-25819552.0	0.475953	0.012205648	0.096	79.0	4337.866489171982
38	62111.77	3701.657	67345.28	59389.27	289.66666	12630.128	2566.9148	18547.871	5975.26	39000	2.5272369e-08	115898070.0	-0.009581051	-26233416.0	0.48454687	0.0063553085	0.112	79.0	4450.797589540482
39	45373.008	29640.441	67797.41	-5609.138	246.25	16916.008	3430.028	25147.967	6863.2983	40000	2.0503998e-08	156297440.0	-0.008061483	-2628528.0	0.47087127	0.005830541	0.034	79.0	4566.340114355087
40	60606.22	969.13025	61956.69	59728.523	282.33334	16225.073	3012.0044	24029.465	5240.802	41000	2.1457671e-09	85205224.0	-0.007785417	-4072728.0	0.39863804	0.014075313	0.049	79.0	4681.087282896042
41	61024.13	1617.1061	62613.836	58805.49	284.0	16855.191	3299.0498	23616.113	5462.4717	42000	-2.3841857e-09	92956260.0	-0.0055667683	-3801480.0	0.43719855	0.0172635	0.093	13.0	4794.574056625366
42	43090.62	28406.652	60658.133	-6095.432	243.0	17514.193	3280.5803	25908.807	5558.9644	43000	2.169609e-08	136751280.0	-0.0014430276	-7381744.0	0.42970216	0.018433068	0.147	6.0	4908.086489439011
43	59152.81	1392.0659	60999.293	57638.26	252.66667	15537.363	2783.8923	21668.107	6642.8774	44000	-1.26361845e-08	76916260.0	-0.00948107	-9317184.0	0.4184093	0.01516256	0.115	78.0	5022.36992931366
44	59104.406	778.19196	60183.09	58376.113	276.66666	18173.863	3071.967	24418.645	8404.893	45000	-1.3828277e-08	73094170.0	-0.0071231155	-2976352.0	0.48800927	0.017455151	0.124	14.0	5135.067253828049
45	57145.797	1918.7328	60409.297	55533.477	242.5	17392.812	3035.4084	25169.361	7918.3965	46000	8.791685e-09	73126870.0	-0.0054323995	-11956980.0	0.51538146	0.01591256	0.122	8.0	5249.651696681976
46	34175.89	32056.914	58349.707	-11125.3	291.0	19877.113	4276.5317	29291.627	9247.417	47000	1.525879e-08	195397140.0	-0.012936116	-76773400.0	0.60692203	0.004862193	0.113	79.0	5362.6832938194275
47	59245.105	2811.2368	62336.668	56005.01	243.5	12095.493	2835.9287	18871.045	4220.6177	48000	6.198883e-09	138332900.0	-0.011800228	-77586000.0	0.5199632	0.015270319	0.041	47.0	5475.966350078583
48	41772.137	28818.69	62608.668	-7928.1416	217.25	20123.842	4033.834	27406.193	7750.4644	49000	-1.5735626e-08	135066100.0	-0.01572085	-17747104.0	0.5506755	0.011020031	0.121	79.0	5590.905946731567
49	22521.494	29763.904	58949.066	-11136.746	189.4	16446.9	3748.1133	22850.725	4587.1045	50000	-1.9073487e-09	175524580.0	-0.01569901	-37897280.0	0.57132876	0.009470525	0.203	79.0	5703.9845678806305
50	58849.914	2607.1135	63058.996	56498.11	235.5	11336.122	3524.4932	17587.334	-450.72305	51000	3.8146974e-09	166016880.0	-0.009539841	-89775700.0	0.5144309	0.012831285	0.06	79.0	5818.059800624847
51	98738.84	0.0	98738.84	98738.84	1000.0	19418.697	3379.514	26132.213	3578.5396	52000	3.194809e-08	75549240.0	-0.013003788	-67131170.0	0.047180798	0.004387109	0.033	79.0	5934.504491567612
52	17893.355	27493.447	57257.863	-12147.899	166.5	13614.922	3857.0076	21538.266	-1690.2015	53000	-1.0967255e-08	157647800.0	-0.013383545	-21830464.0	0.5024596	0.00819609	0.096	79.0	6048.252300977707
53	58196.996	1435.4934	59784.082	56691.477	222.5	10328.049	3721.2876	18088.61	-2002.8795	54000	-4.7683715e-09	186233570.0	-0.013206562	-108028940.0	0.46120688	0.009339592	0.064	79.0	6177.340282201767
54	57897.465	189.13281	58086.598	57708.332	370.0	19570.531	4449.5347	27790.03	4333.1387	55000	1.525879e-08	90496730.0	-0.009503992	-33849424.0	0.47647965	0.008646956	0.034	79.0	6328.2215123176575
55	59274.867	655.8047	59930.67	58619.062	371.5	14444.296	4456.686	22819.473	831.9555	56000	-8.5830685e-09	54436324.0	-0.012190006	-1907812.0	0.40778846	0.015264017	0.148	56.0	6479.660777807236
56	60401.336	20.488281	60421.824	60380.848	341.5	14005.014	4427.1943	22382.47	-491.27536	57000	3.5762786e-09	61694280.0	-0.0070847278	-1743660.0	0.4535246	0.016536746	0.106	18.0	6635.300511837006
57	57806.62	2377.413	60797.035	54980.547	331.0	14258.857	4863.8486	25084.377	-785.10126	58000	9.536744e-10	69067416.0	-0.0019734234	-7731040.0	0.44275734	0.019850178	0.266	5.0	6799.483442783356
58	8111.6943	32560.904	72042.06	-12362.025	168.8	14988.829	5218.7896	25235.85	-3705.7505	59000	-3.683567e-08	188280600.0	-0.0042906413	-82573416.0	0.50328034	0.014321192	0.251	7.0	6944.279544830322
59	26081.668	30695.412	71555.08	963.0995	178.0	8325.218	5019.745	20040.607	-6234.445	60000	-1.4305115e-09	162698580.0	-0.009718148	-14171040.0	0.5029325	0.008897497	0.032	79.0	7076.0094957351685
60	41976.273	23827.43	56087.89	709.0707	192.5	11970.236	5132.658	21676.295	-2633.8818	61000	4.5776368e-08	121752456.0	-0.0076244897	-26227528.0	0.44446322	0.0067879152	0.041	79.0	7207.080414772034
61	57085.895	2071.2644	59941.14	55063.71	227.25	16317.502	5129.0947	25922.234	940.47894	62000	-1.3351441e-08	79856584.0	-0.011514694	-21976780.0	0.43797356	0.01516903	0.092	60.0	7337.875431537628
