Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-16568.49	2601.3472	-13035.453	-22014.717	74.23077	0.025217311	0.10415341	0.21230698	-0.45716488	1000	-5.8174134e-08	92452776.0	-0.010267087	-37568750.0	1.0568892	0.016044382	0.336	3.0	108.41697239875793
1	-13716.529	1899.8915	-9870.982	-17806.2	69.23077	-1883.6238	413.23563	-921.6714	-3185.4587	2000	1.1920929e-09	41646470.0	-0.015485696	-35416840.0	1.0857613	0.0210472	0.397	7.0	215.64942979812622
2	-13912.047	1665.7908	-11563.395	-17089.734	82.75	-7630.282	1622.5592	-2896.4014	-12586.319	3000	2.002716e-08	5583837.5	-0.019017993	-2642622.5	1.0569932	0.018874105	0.166	21.0	316.2597932815552
3	-9723.552	3950.28	-1657.9094	-14089.276	75.61539	-7231.968	1831.1812	-2347.409	-13190.9	4000	7.390976e-09	19713998.0	-0.030197483	-5495069.0	1.0717945	0.013483366	0.195	79.0	427.03016114234924
4	-13071.389	3183.334	-8993.215	-19367.807	107.375	-5437.133	1194.2712	-2345.5815	-8029.1523	5000	-1.835823e-08	10766931.0	-0.014278809	-1616834.0	1.0467192	0.016336028	0.313	11.0	531.690714597702
5	-5812.4644	5388.2	1709.4644	-13428.803	89.7	-5782.709	1940.5859	-1756.8202	-13027.471	6000	8.940697e-09	22518744.0	-0.026560586	-8437578.0	1.0423963	0.0042407676	0.17	79.0	639.404269695282
6	-5960.0205	4549.669	1108.4457	-13085.114	99.666664	-2935.6025	2019.8821	61.863197	-11013.937	7000	1.5497208e-09	18232414.0	-0.012444521	-1634941.0	1.0079844	0.015653865	0.269	9.0	743.5606796741486
7	-2636.4277	5175.8223	3839.7344	-10850.771	116.375	-2037.8292	1587.1096	-118.13738	-9661.441	8000	-5.9604646e-09	20786282.0	-0.029494178	-2865930.0	0.98980594	0.015808206	0.163	37.0	847.7780694961548
8	-5407.373	7665.2676	4718.428	-17307.484	110.0	-2413.8894	1395.7579	-94.35042	-8464.546	9000	-3.8146974e-09	23117444.0	-0.010024853	-5824388.0	0.9692713	0.025168898	0.375	5.0	951.6758408546448
9	-2695.6658	6593.5815	6087.417	-10743.892	70.35714	-2879.6826	2035.8488	64.15779	-12846.842	10000	-1.001358e-08	22257758.0	-0.011441848	-1783798.0	0.874499	0.024922866	0.307	5.0	1056.257441997528
10	551.2891	5327.043	7042.587	-9689.189	82.0	-2395.4456	2261.5867	454.24936	-10695.781	11000	7.092953e-09	17220542.0	-0.005736521	-3622430.0	0.86038905	0.019112358	0.09	5.0	1160.3141295909882
11	-2378.8906	6235.1626	6742.82	-9928.021	65.066666	-865.6634	2699.3054	1671.9178	-11682.274	12000	2.8133393e-08	21476410.0	-0.027317518	-2702386.0	0.8726534	0.008906369	0.191	79.0	1266.3735330104828
12	1441.5055	4166.5073	7968.6646	-7158.0874	82.75	-2248.9614	3156.6328	885.209	-11759.051	13000	4.386902e-08	13599166.0	-0.02577689	-4126060.0	0.84029067	0.015784329	0.182	46.0	1371.516791343689
13	3075.1914	3386.37	6873.312	-7230.9175	71.35714	-177.74721	3034.1692	2163.2195	-10430.494	14000	-3.2901763e-08	10451839.0	-0.0069525153	-1623420.0	0.7638802	0.018867156	0.214	5.0	1476.5211765766144
14	2393.6484	2932.6785	6188.6157	-6298.212	76.61539	-266.98926	3815.4438	3540.6523	-11902.604	15000	9.059906e-09	9511566.0	-0.009419969	-434844.0	0.7311798	0.014066354	0.249	10.0	1581.5939972400665
15	5410.37	3256.3208	12434.456	1034.8451	86.181816	204.33322	3770.5964	3555.1873	-11060.702	16000	1.859665e-08	10788810.0	-0.020751638	-2891233.5	0.76031643	0.009766585	0.129	79.0	1703.3232696056366
16	10846.12	18395.266	59118.69	-7654.817	101.44444	1507.99	4474.066	5600.5137	-12296.991	17000	1.0967255e-08	113793700.0	-0.01813344	-34614520.0	0.6788175	0.006397339	0.1	79.0	1853.9853138923645
17	872.69995	4688.8203	7014.3345	-5920.633	88.63636	3522.807	4274.672	8869.96	-9337.328	18000	-1.13248824e-07	29559336.0	-0.01970786	-19067336.0	0.6129209	0.015694523	0.137	47.0	2000.3234012126923
18	3054.257	7028.8223	12694.288	-6982.9336	107.0	237.77791	4091.1287	4738.8584	-13167.828	19000	1.6689301e-09	17836624.0	-0.023912387	-1440416.0	0.7638467	0.015078523	0.115	79.0	2158.4515182971954
19	5027.5	6813.012	13629.471	-9004.745	114.75	149.83722	4603.238	5540.78	-16792.594	20000	3.8146972e-08	19272298.0	-0.025757456	-5625278.0	0.7288571	0.01166575	0.114	79.0	2315.0625348091125
20	1574.32	7333.7705	11107.626	-8672.91	82.90909	313.02682	5313.5557	7200.249	-13688.024	21000	1.5497207e-08	20043920.0	-0.018241266	-4167194.0	0.62954694	0.017099235	0.155	16.0	2470.6972258090973
21	6753.8584	5016.4517	13681.704	-6186.0522	96.9	211.31393	3818.0159	3303.7146	-10768.691	22000	-5.2452087e-09	9794755.0	-0.011309955	-4037658.5	0.7128999	0.01799903	0.129	10.0	2623.2386577129364
22	1320.2727	6598.468	7841.737	-8933.662	100.22222	1466.23	4684.157	7261.8677	-11367.741	23000	-7.43866e-08	20444404.0	-0.026355058	-6433511.0	0.73581177	0.014341378	0.13	50.0	2777.8128645420074
23	300.12045	6265.6724	13129.719	-6903.852	96.7	-532.01526	3979.5403	4605.743	-13758.378	24000	5.2452087e-09	23503048.0	-0.015627414	-1773838.0	0.62396055	0.017629143	0.137	8.0	2932.6949276924133
24	1415.1508	7184.622	13646.766	-7849.988	97.9	-1268.905	3661.289	1727.3738	-13174.579	25000	6.7353247e-09	22951334.0	-0.0062707183	-1107432.0	0.7245374	0.021084953	0.133	5.0	3081.544064760208
25	381.7024	7103.7725	7360.6714	-10938.93	99.6	-1433.5516	4800.0093	3047.6135	-18789.879	26000	-1.5377998e-08	18102858.0	-0.01486535	-4354446.0	0.73487955	0.019616043	0.205	9.0	3237.0465228557587
26	780.2324	7063.6216	8762.515	-9107.745	91.2	-435.6728	4297.753	2871.0796	-13922.068	27000	1.9550324e-08	18514392.0	-0.011798589	-2104020.0	0.76987535	0.012111358	0.099	5.0	3390.5323989391327
27	3456.9604	2228.5815	6132.707	-1127.0854	128.28572	-1144.8186	5125.0664	3263.7393	-12527.904	28000	1.4305114e-08	16318539.0	-0.0053522997	-6138021.0	0.6761739	0.016554039	0.252	5.0	3542.512784719467
28	5286.8877	6043.617	14525.093	-4149.4478	125.0	842.4824	4293.6084	7406.6978	-10345.582	29000	1.7881394e-08	26737428.0	-0.017073283	-6123202.0	0.6051001	0.017617175	0.151	20.0	3698.0799701213837
