Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
28	-11111.644	12895.833	-1392.0576	-46473.707	98.1	-7739.212	2540.4165	-3402.8489	-15996.917	29000	-0.030602595	21911502.0	-0.0013099778	-3613986.0	0.98463213	0.0005944842	3268.0113570690155
29	-5065.537	14246.634	36864.867	-17415.68	86.09091	-7274.582	2975.1057	-3153.485	-14089.556	30000	0.0031910997	127586200.0	-0.0003229326	-32225328.0	0.98605216	0.0005769085	3375.819216966629
30	-11961.553	5575.08	-2597.1575	-21543.34	82.27273	-3277.5693	2209.6863	-938.9156	-9614.843	31000	-0.02509199	28673192.0	-0.0016358066	-16418298.0	1.0047995	0.001734297	3483.2870166301727
31	-13151.336	3879.248	-4023.9336	-19100.62	98.0	-7566.7183	2771.349	-3308.0261	-16250.563	32000	-0.03724277	10284958.0	-0.0027101152	-1396782.0	0.9588367	-0.00022884154	3590.6762070655823
32	-11779.299	6894.085	-2761.1782	-28240.346	87.6	-7828.1714	2852.9988	-3555.2615	-14562.532	33000	-0.037758898	12266883.0	-0.0022998042	-1018618.0	0.9551378	0.0014304459	3697.6272161006927
33	-12487.217	7348.491	-1058.2941	-27413.81	116.375	-7361.494	2778.1682	-3534.7585	-14709.866	34000	-0.03247829	11912840.0	-0.0015272424	-1421868.0	0.94486886	0.00024405665	3805.2335176467896
34	-14774.025	11851.279	-2064.6526	-48897.82	90.36364	-7837.377	3066.8596	-2870.8613	-15031.01	35000	-0.023427218	17606982.0	-0.0027849805	-4296145.0	0.9421079	0.0004172881	3913.043437242508
35	-7561.1807	13758.105	38022.316	-15137.431	66.53846	-8267.934	2929.854	-3559.2227	-18605.803	36000	-0.020301474	146139800.0	-0.001048563	-38763776.0	0.9077712	0.00015255049	4020.8311207294464
36	-11430.911	7295.8	-2189.7534	-29160.498	73.0	-3861.7275	2171.0222	-1066.0864	-9889.989	37000	-0.025437057	24712642.0	-0.0012517255	-9507431.0	0.91230625	0.00032814604	4129.788016319275
37	-8219.354	6051.94	39.915207	-19711.375	70.78571	-6467.904	2896.6833	-2673.987	-13764.899	38000	-0.047502205	16612854.0	-0.0010977723	-1824211.0	0.89277214	-0.00012541113	4237.872587919235
38	-10676.296	23294.887	35773.375	-42595.24	130.0	-6940.494	2626.371	-3011.5298	-13836.42	39000	-0.020014672	119035470.0	-0.0009181388	-8007216.0	0.89980114	0.0008174743	4345.343554973602
39	-5590.6177	14916.301	36999.29	-23212.473	81.545456	-5020.057	2408.9526	-1454.2439	-11809.179	40000	0.0140555855	105171950.0	-0.00081715174	-5757752.0	0.8730153	0.0007073115	4452.916081190109
40	-993.80884	24854.137	38262.09	-40659.055	118.875	-3220.4924	2144.7012	-787.41833	-13035.341	41000	0.058913965	204872640.0	-0.00025787577	-4296512.0	0.8265007	-0.0006204403	4560.780702352524
41	-3339.359	15230.1	40285.133	-16096.743	88.1	-2631.3406	2340.9023	-1.9229023	-13087.663	42000	0.026667282	95679380.0	-0.0015726984	-2628840.0	0.83611107	0.0005637642	4668.078975200653
42	-5187.028	14777.086	38153.02	-15043.051	85.36364	-2448.667	2694.311	377.17383	-9571.019	43000	0.0068106963	104608630.0	-0.0010338817	-1107360.0	0.8086415	-0.00023273581	4775.921372652054
43	382.18402	17323.91	41125.535	-14632.834	109.666664	-3029.9585	2921.2065	291.59332	-11638.716	44000	0.038363133	161109220.0	-0.00021843612	-12581536.0	0.8295018	-0.0008086533	4884.249360561371
44	-8610.778	4953.3887	-1295.7983	-16420.787	64.07143	-1112.383	3023.505	2372.7231	-8739.644	45000	-0.015491497	38929416.0	-0.0038181785	-19880734.0	0.8320176	0.0021778566	4992.511579036713
45	947.5113	18268.203	41750.195	-12791.252	76.818184	-4740.724	3287.3118	-602.0733	-14780.95	46000	0.03442147	185827870.0	-0.0025015846	-26816112.0	0.83660257	0.0030657845	5099.6851489543915
46	-10302.237	4364.4424	-4215.7017	-14660.947	170.8	-1544.0359	3242.203	2593.6501	-11912.294	47000	0.029708495	82137870.0	-0.0005106274	-12012304.0	0.8713894	0.00043867272	5207.5933401584625
47	-5332.369	18918.846	43331.65	-18187.945	116.25	-4133.0386	3437.4407	556.3409	-15532.073	48000	-0.012537941	111895544.0	0.00014861394	-1838808.0	0.8454215	2.5249541e-05	5315.281432151794
48	772.0472	24607.752	42313.082	-20610.14	125.28571	-2694.6975	3529.5342	1257.4215	-12939.105	49000	0.049032524	176635620.0	-2.8632581e-05	-8491632.0	0.8502798	0.00017883751	5422.642262458801
49	-8237.15	17736.393	37947.223	-30205.041	93.888885	-1572.2662	3906.6086	2526.3809	-12729.383	50000	0.027833162	110757860.0	-0.00013639033	-7688632.0	0.84656715	2.0601676e-05	5530.227628946304
50	-6802.673	20260.271	41170.375	-25321.363	136.71428	-2802.798	3460.5596	1171.0497	-16407.92	51000	-0.00022149182	128780570.0	-0.0007096152	-4611096.0	0.8169191	6.901011e-05	5638.937289953232
51	-13371.816	2818.907	-11287.983	-20556.754	110.75	-5276.481	3826.1943	315.76895	-14591.336	52000	0.0039571184	16886636.0	-0.0037804379	-6548760.0	0.86381304	0.001425842	5746.052607536316
