Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-15917.984	3230.7412	-12001.031	-19846.15	98.0	-0.10712779	0.16113059	0.1709794	-0.43408754	1000	1.001358e-07	77288900.0	-0.024235621	-32301864.0	1.0790771	0.015450205	0.312	30.0	143.15689301490784
1	-12356.209	1926.362	-9339.168	-15365.182	88.36364	-2133.3118	481.30264	-933.15094	-3307.895	2000	9.4056126e-08	30744228.0	-0.0073617627	-21318408.0	1.078048	0.0147193195	0.112	11.0	256.6074981689453
2	-14435.359	1690.9955	-11325.862	-17010.123	82.25	-6547.105	1284.008	-3448.4827	-9644.086	3000	3.051758e-08	9213265.0	-0.010115335	-6351656.0	1.0647073	0.012874518	0.375	7.0	367.20468640327454
3	-13291.472	2893.7449	-10309.403	-19603.027	83.8	-7583.3633	1456.3933	-3762.8723	-11494.667	4000	-9.059906e-09	5327552.5	-0.008740161	-1132274.0	1.0795428	0.017572535	0.328	8.0	480.2612714767456
4	-12070.017	1963.5048	-8397.013	-15156.5205	74.30769	-7885.519	1231.8757	-4529.918	-9779.888	5000	6.198883e-09	4563803.0	-0.008595836	-495730.5	1.0643489	0.023965143	0.046	4.0	597.9674537181854
5	-13251.148	9644.994	-6050.78	-38382.14	118.25	-7809.1484	2157.886	-2643.4385	-16769.174	6000	1.5616417e-08	12348172.0	-0.028734772	-2321300.0	1.0313479	0.009240345	0.196	79.0	718.2500438690186
6	-6554.2305	3107.5852	-670.8138	-12444.695	118.0	-6141.152	1749.822	-3076.026	-12372.307	7000	-6.6757204e-09	17248950.0	-0.011031097	-9062112.0	1.0037388	0.017453581	0.189	14.0	834.1798117160797
7	-7397.1177	2767.839	-3843.8237	-13512.495	108.0	-3655.5002	1803.2058	-1058.6603	-8780.794	8000	-1.9073487e-09	9861564.0	-0.025262892	-858349.0	0.94988567	0.015241537	0.169	61.0	962.7423193454742
8	-243.10324	21877.867	52485.547	-16887.738	138.57143	-4286.698	2321.932	-464.23914	-10121.796	9000	7.1644784e-08	161827490.0	-0.0075329053	-30652136.0	0.96431226	0.018891495	0.178	7.0	1093.2123639583588
9	16919.025	28923.854	59750.824	-7644.2764	165.33333	-463.85526	550.4399	-5.2569823	-2951.7117	10000	5.722046e-09	263223180.0	-0.02255053	-36479280.0	0.8608349	0.01917062	0.279	17.0	1204.0529544353485
10	7441.0874	26020.387	52469.082	-12103.347	115.25	2424.6018	879.67737	4863.321	1085.0544	11000	7.152557e-09	203314850.0	-0.009069076	-42001170.0	0.8772743	0.014840978	0.118	10.0	1339.588031053543
