Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-20498.568	5633.4956	-9246.385	-31025.363	105.44444	0.21060471	0.17823869	0.52943224	-0.23580357	1000	-1.9264222e-07	104010960.0	-0.006142945	-11122328.0	0.0018946845	0.0	123.11911392211914
1	-17110.695	4625.201	-5234.8286	-22327.574	83.454544	-569.3985	92.96419	-214.01788	-824.13837	2000	-6.437302e-08	81194270.0	-0.016404094	-57539450.0	0.00572543	0.0	238.44709753990173
2	-22613.707	5569.7075	-16401.707	-33089.57	112.625	-5269.3594	826.7361	-3044.9878	-7673.364	3000	-6.437302e-09	30451354.0	-0.0068862233	-26831538.0	0.0014137988	0.0	351.0249433517456
3	-20670.15	6714.4487	-7559.2163	-34372.547	109.77778	-10053.492	1501.4005	-2734.1628	-14163.697	4000	-5.722046e-09	5090398.0	-0.016310403	-72086.0	0.003656747	0.0	463.1835446357727
4	-32842.48	12667.228	-17926.55	-47859.426	174.0	-10471.639	1402.5127	-5936.2324	-13979.155	5000	2.6702882e-08	5556762.5	-0.013494593	-3048857.5	0.0049254526	0.0	576.8444731235504
5	-19540.684	4852.614	-14094.672	-30802.54	91.6	-10442.619	1834.0455	-4072.2249	-15128.988	6000	1.4305115e-09	2419889.5	-0.015631732	-302504.0	0.0040583694	0.0	689.9658863544464
6	-17027.785	4735.3135	-9431.39	-22658.523	99.4	-10781.138	2618.0752	-2731.0364	-15861.192	7000	-1.0967255e-08	12016552.0	-0.016163213	-5025962.0	0.004164296	0.0	803.223929643631
7	-20564.676	5706.913	-6152.794	-26317.828	118.5	-8812.516	1708.8518	-3133.5103	-13043.865	8000	-7.1525574e-10	8267245.0	-0.020022983	-1416888.0	0.004403611	0.0	915.9910936355591
8	-13213.224	4442.8877	-4482.168	-19229.84	89.9	-7912.115	2708.1885	-1003.2517	-14969.145	9000	-1.2516975e-08	12561043.0	-0.014878898	-2047926.0	0.004300333	0.0	1029.417439699173
9	-13040.188	5300.933	-4330.88	-20525.035	88.181816	-7276.741	2261.5364	-1445.1025	-13099.435	10000	1.3589859e-08	14098132.0	-0.014061451	-1065680.0	0.0036069527	0.0	1143.5795843601227
10	-14019.725	5118.5737	-3862.219	-21178.19	84.181816	-6460.2734	2262.109	-1237.5166	-13452.466	11000	-7.033348e-09	16532547.0	-0.024448315	-2741288.0	0.005667242	0.0	1256.6510426998138
11	-15962.926	5512.8813	-5683.9067	-25434.955	89.818184	-7290.663	2110.6736	-2644.6091	-14859.708	12000	-6.6757204e-09	11587909.0	-0.017676393	-2165061.0	0.0046380265	0.0	1368.9075908660889
