Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
29	-8111.7427	429.67706	-7413.9355	-9178.197	31.838709	-7698.925	1242.0049	-5526.4185	-10532.631	60000	-0.074469745	353867.06	-0.00088154525	-23479.75	0.59632796	0.0014770802	8427.044507265091
30	-8140.194	359.77783	-7427.7026	-9116.854	28.826086	-7756.8667	1343.4893	-5491.1265	-11258.38	62000	-0.052787464	356702.4	-0.0015236251	-49172.938	0.53312564	-8.82827e-05	8659.726808071136
31	-8103.863	359.40155	-7320.685	-9097.048	28.056337	-7942.372	1301.4729	-5732.061	-10997.976	64000	-0.07667876	299156.84	-0.002256818	-15814.0	0.5153865	0.0010270231	8892.49960565567
32	-8021.398	395.76556	-7320.493	-9121.979	27.90141	-7976.25	1242.9312	-5817.0	-10846.013	66000	-0.099286065	194538.62	-0.0037653595	-13647.859	0.47643694	0.00059478474	9124.980696201324
33	-7933.9004	342.18683	-7242.146	-9204.616	28.140844	-7867.7246	1212.6956	-5765.463	-10725.499	68000	-0.12309315	186405.56	-0.0028055087	-13611.1875	0.44570947	0.00056060025	9357.140535593033
34	-7861.858	250.38908	-7321.023	-8428.808	27.356165	-7825.037	1252.1982	-5678.432	-10604.337	70000	-0.062270653	162246.5	-0.0014138706	-5714.625	0.40604603	2.9817224e-07	9589.453868627548
35	-7941.6797	276.60355	-7427.851	-8806.325	26.85135	-7869.463	1305.3699	-5654.752	-10751.058	72000	-0.03497218	161744.08	-0.0012400188	-11840.5625	0.42167318	0.0017185039	9822.80501818657
36	-7796.266	293.3202	-7264.563	-8385.676	27.109589	-7900.851	1230.2799	-5791.042	-10592.945	74000	-0.075013734	146354.42	-0.0014043078	-12642.969	0.3622743	0.00045566662	10055.915480136871
37	-7807.816	232.63135	-7423.2344	-8513.847	27.123287	-7829.045	1267.9098	-5668.2637	-10654.956	76000	-0.06530578	119998.53	-0.0020323098	-3963.5547	0.35949743	0.0010097427	10288.420400619507
38	-7766.274	287.01263	-7182.549	-9241.711	26.6	-7793.588	1267.49	-5640.2188	-10882.054	78000	-0.08068672	146609.11	-0.0016567707	-6254.4375	0.32942316	0.0007693602	10521.218697547913
39	-7759.661	238.52394	-7409.617	-8871.933	26.039474	-7857.7583	1313.1136	-5598.4824	-11009.487	80000	-0.055135634	132943.56	-0.0019747168	-7216.3125	0.2933578	0.00028635713	10753.909518241882
40	-7736.4194	276.68265	-7213.7783	-8767.33	25.766233	-7801.1133	1262.8881	-5229.7573	-10402.331	82000	-0.08606487	159842.66	-0.0024208352	-4331.422	0.2732011	0.0005393831	10991.647801876068
41	-7700.176	264.61606	-7213.7	-8458.206	26.506666	-7822.5034	1226.35	-5698.1377	-10260.37	84000	-0.08803372	122384.484	-0.001923643	-7926.836	0.29006538	0.0015571438	11223.766116142273
42	-7657.379	232.8742	-7213.931	-8268.583	25.844156	-7798.1655	1306.243	-5554.7656	-10466.913	86000	-0.03794137	117480.81	-0.0009780154	-5495.5234	0.23288436	0.00014537269	11456.718028068542
