Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
28	-6257.079	332.67343	-5806.8086	-7068.5815	58.1875	-6447.6426	1926.6606	-3020.1035	-10861.895	29000	-0.14161094	650413.4	-0.0014885068	-128888.78	0.54936826	0.0003489169	3196.3308007717133
29	-6270.836	320.62155	-5667.812	-6886.0713	54.444443	-6182.3164	2147.3835	-2628.9226	-10807.6	30000	-0.08484986	805534.6	-0.0018669218	-71119.06	0.50700563	0.000754527	3313.8000161647797
30	-5813.5376	2611.7434	4401.3545	-7243.094	57.0	-6142.0044	2178.1787	-3022.7322	-13344.686	31000	-0.031866726	5386704.0	-0.0010370091	-268512.5	0.5534568	0.0025598584	3421.483452796936
31	-5855.5103	676.82166	-4412.4775	-7002.2485	57.17647	-5858.9546	2106.4487	-2292.62	-10338.5205	32000	-0.13429484	1059943.0	-0.001375556	-171613.94	0.47690418	0.000117802236	3537.5976045131683
32	-6142.6714	528.23694	-5210.9893	-7570.9067	53.61111	-6055.37	2104.3562	-2702.922	-10101.948	33000	-0.11329423	383629.16	-0.002359651	-74493.56	0.47267076	0.0014573813	3645.502013683319
33	-5737.037	509.39258	-4359.5234	-6424.9805	55.333332	-6296.46	2123.083	-2754.3403	-11325.448	34000	-0.086631946	469868.47	-0.00070646405	-95572.28	0.41850927	0.00013541165	3752.35094165802
34	-5928.98	301.2847	-5376.2954	-6355.932	53.61111	-6168.467	2255.7332	-3103.8044	-10389.696	35000	-0.08756293	350260.88	-0.0031840429	-55677.97	0.41551355	0.0013447213	3860.5074560642242
35	-5647.3535	470.99347	-4850.077	-6531.0854	53.333332	-5915.3306	2111.0898	-2401.243	-10306.347	36000	-0.10192123	637836.94	-0.0010346249	-68219.5	0.35327163	-0.0003494847	3971.6057419776917
36	-5714.344	551.1957	-4749.789	-6718.864	53.833332	-6089.645	2157.477	-2427.4192	-10441.36	37000	-0.105708785	285600.56	-0.0021441802	-31302.328	0.397917	0.00086552795	4083.5711369514465
37	-5455.157	270.6449	-4982.5454	-6088.9453	54.555557	-6170.447	2208.4304	-2385.963	-10573.636	38000	-0.06874521	259099.48	-0.0008930564	-66492.58	0.31895664	-8.2565544e-05	4199.871843338013
38	-5385.5225	460.54233	-4582.6406	-6390.4062	54.27778	-5852.932	2270.0063	-2079.544	-10214.488	39000	-0.051985465	212454.23	-0.0013417751	-16835.094	0.323911	0.00020534835	4321.2521052360535
39	-5604.594	392.9399	-4874.9497	-6449.8384	52.72222	-5960.314	2305.0046	-2009.7936	-10442.166	40000	-0.059262224	181930.1	-0.0027179085	-33603.203	0.33283198	0.0010835697	4433.483634233475
40	-5403.296	473.00604	-4547.633	-6600.6543	52.210526	-6079.25	2159.9124	-2202.6409	-10642.81	41000	-0.11752759	198371.9	-0.0027628988	-24061.953	0.29037488	-1.5404343e-05	4536.818962574005
41	-5362.755	430.78873	-4435.9077	-6328.386	50.63158	-5880.608	2279.698	-1968.8702	-10568.287	42000	-0.031410653	454529.16	-0.0011652149	-52051.438	0.24303365	-0.0006387221	4638.795516729355
