Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-12456.453	4917.474	-9397.534	-29665.424	131.5	-6320.38	959.83606	-4574.8145	-9130.601	54000	-1.4305114e-08	3792100.8	-0.022654863	-186174.75	0.44519293	0.01892324	0.0865	79.0	5752.810415267944
27	-11684.061	2043.709	-9165.234	-16685.873	137.76923	-6254.9326	930.2757	-4506.347	-8074.9033	56000	-9.298325e-09	3633080.2	-0.02327013	-371680.25	0.4536872	0.033141494	0.103	79.0	5966.9121034145355
28	-12382.044	1700.2227	-9699.821	-16614.906	163.58333	-5761.8335	891.1836	-4059.4026	-7445.85	58000	-3.6358834e-09	2969894.0	-0.029418435	-150427.25	0.4185109	0.03829052	0.1515	79.0	6165.309446811676
29	-13317.258	1924.0868	-11151.106	-17857.203	187.3	-5719.697	1075.2703	-3577.601	-8146.2305	60000	-1.6689301e-09	2533028.5	-0.030614622	-180312.5	0.391427	0.03885997	0.0975	79.0	6371.4402067661285
30	-10530.707	1080.144	-9148.358	-13337.497	115.70588	-5295.7124	1355.716	-2869.98	-7967.6626	62000	8.34465e-09	4968397.5	-0.027317196	-544202.5	0.36702442	0.034324795	0.0925	79.0	6581.243607997894
31	-12367.96	5235.9067	-8656.197	-28398.95	162.36363	-5990.518	1000.01355	-4178.7964	-9128.232	64000	-5.722046e-09	4128822.5	-0.025644315	-399675.5	0.36238453	0.037149664	0.1115	79.0	6803.497478246689
32	-11306.382	1987.2001	-8057.5347	-16284.162	154.75	-5307.76	1272.1129	-3292.541	-7650.308	66000	2.3841857e-09	4078348.8	-0.024593238	-97288.0	0.34798992	0.023045419	0.077	79.0	7017.034402370453
33	-10629.734	2466.703	-6710.5483	-17823.719	123.666664	-5184.205	1077.4673	-3458.6943	-8478.932	68000	-1.859665e-08	5024614.5	-0.026575424	-146172.5	0.34069568	0.04148197	0.0985	79.0	7235.192470788956
34	-10489.776	1533.0542	-7423.761	-12896.71	153.91667	-5589.2886	1018.16284	-3703.6892	-7863.11	70000	-5.00679e-09	3962673.5	-0.025521787	-669384.5	0.3217887	0.04689616	0.086	79.0	7448.921941757202
35	-10969.427	2436.157	-8521.293	-19012.975	149.0	-4737.059	1240.2579	-2312.096	-6961.249	72000	8.702278e-09	4888294.5	-0.028672606	-599542.0	0.3202426	0.04733068	0.1105	79.0	7668.404868364334
36	-11309.774	1298.6549	-9298.676	-13472.08	141.46153	-5660.582	1253.4413	-3361.964	-7819.845	74000	-9.477138e-09	3063703.0	-0.024401136	-59978.75	0.3719906	0.05256952	0.1085	79.0	7875.039170026779
37	-11694.346	2449.4146	-9276.337	-18803.25	104.789474	-4907.7866	1191.2875	-2780.5845	-8765.724	76000	-2.8133393e-08	7910720.5	-0.026779551	-4332118.5	0.3492754	0.047009077	0.114	79.0	8091.8801872730255
38	-11275.374	1650.3163	-9204.709	-14361.299	163.91667	-7125.866	728.14685	-5365.8794	-8346.371	78000	7.343292e-08	6198323.0	-0.02667925	-3663231.5	0.37683904	0.043014098	0.109	79.0	8306.877752304077
39	-12386.112	3018.3276	-9132.177	-20351.8	153.08333	-5305.702	1331.0927	-2957.5757	-8333.085	80000	-1.9073487e-09	3699946.5	-0.030819068	-354419.25	0.35769978	0.052525334	0.1275	79.0	8509.408190965652
40	-10923.569	1311.5419	-9337.325	-13876.907	115.588234	-5651.72	1168.3381	-3636.5657	-8053.285	82000	1.9788741e-08	3472983.0	-0.026212068	-137147.75	0.40949532	0.045223113	0.115	79.0	8714.314722537994
41	-13205.26	1936.1133	-10433.605	-17422.205	133.5	-5731.9385	879.86584	-4386.4404	-9571.384	84000	2.3245812e-09	4717943.0	-0.027244987	-730005.75	0.45114872	0.041460056	0.1105	79.0	8922.893092393875
42	-11749.129	1388.8485	-9648.259	-14216.968	149.84616	-6774.706	1106.311	-4777.0693	-8889.719	86000	-1.4662743e-08	4643945.5	-0.024905598	-1709447.2	0.4596002	0.026487533	0.0975	79.0	9125.428926706314
43	-10759.292	1458.3082	-8980.245	-15150.873	124.875	-5340.973	1147.1326	-3284.3433	-7984.2715	88000	3.4332274e-08	5231735.0	-0.02803629	-606609.5	0.42402533	0.06418652	0.145	79.0	9334.889540672302
44	-12261.975	1938.0768	-9683.274	-16351.59	148.84616	-5895.5215	831.4811	-4082.5989	-9216.978	90000	-1.0967255e-08	3671734.8	-0.025294043	-167358.0	0.48376256	0.034950413	0.1075	79.0	9545.887606620789
45	-14461.112	2708.4592	-9980.432	-19908.559	130.33333	-5444.8633	697.569	-3674.0327	-8335.76	92000	7.629395e-09	6347820.0	-0.03967811	-2741444.5	0.5142187	0.039159156	0.1475	79.0	9756.356546640396
46	-16278.328	3781.2197	-12192.927	-25985.523	170.90909	-7093.25	551.4697	-5989.607	-9934.234	94000	-1.3351441e-08	4617869.0	-0.04418794	-282643.0	0.55599654	0.049473215	0.174	79.0	9995.926466703415
47	-12595.715	2240.8523	-9613.131	-19057.406	153.0	-6732.459	662.2566	-5447.0303	-9226.348	96000	-1.1086464e-08	5259725.0	-0.029482763	-1526578.8	0.49331972	0.03378573	0.144	79.0	10193.681797266006
48	-12430.179	2108.833	-8872.198	-15462.127	153.76923	-5610.5635	759.61945	-4219.8994	-8687.198	98000	-1.1324882e-08	3895451.5	-0.027717507	-66903.0	0.46963358	0.025710054	0.1125	79.0	10386.90911579132
49	-14385.322	3741.4368	-11400.103	-24702.826	175.0	-5736.192	846.11224	-4167.381	-7450.111	100000	-2.3961068e-08	4571622.0	-0.02984671	-415615.0	0.46256456	0.038816743	0.138	79.0	10590.332756996155
50	-11061.523	1062.5399	-9172.555	-13315.368	159.16667	-5930.25	1035.5009	-3748.7043	-7462.831	102000	8.106232e-09	4704173.5	-0.023640716	-612337.5	0.35313755	0.025864134	0.088	79.0	10788.286688566208
51	-13168.169	4560.0166	-9146.807	-23637.43	142.91667	-5347.1416	1072.0109	-3165.684	-8050.0044	104000	-1.0251999e-08	4502290.0	-0.0370108	-700678.25	0.43578088	0.048643164	0.1095	79.0	10995.466247797012
52	-13812.409	4052.0608	-9611.429	-21399.715	158.16667	-5850.733	1128.071	-3806.424	-9426.266	106000	-5.4836273e-09	3230014.5	-0.038167562	-125041.75	0.4859264	0.0718569	0.1925	60.0	11208.49031829834
53	-17576.742	4990.227	-12756.658	-26364.848	219.55556	-6070.682	1036.1069	-4169.382	-9157.474	108000	-4.3511392e-08	4966590.0	-0.03291897	-663897.0	0.49392223	0.03983819	0.183	79.0	11413.497895479202
54	-14646.382	1726.4893	-11037.58	-17433.307	206.55556	-6424.351	1500.9851	-3645.988	-10599.621	110000	-9.536743e-09	4288353.0	-0.02964647	-984233.25	0.47212103	0.027533097	0.111	79.0	11614.620214223862
55	-14950.219	3254.0537	-9747.331	-18971.863	221.375	-5645.15	1183.6832	-2731.5125	-9325.21	112000	1.26361845e-08	3518068.8	-0.025353314	-103336.0	0.46976814	0.038540605	0.112	79.0	11817.119333744049
