Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-16099.442	4255.386	-10111.12	-28227.17	101.47369	-0.24185818	0.17636108	0.18228388	-0.62423563	2000	9.6559525e-08	75285710.0	-0.03451835	-67427740.0	1.0788008	0.033645038	0.199	79.0	199.2319655418396
1	-13030.684	2949.725	-8972.728	-19610.42	84.09091	-8078.067	2078.2075	-1238.3785	-13737.406	4000	1.1920929e-09	8892358.0	-0.030628433	-1251481.0	1.0601243	0.032295097	0.1585	79.0	400.79791498184204
2	-15523.074	5730.8555	-9888.909	-32331.639	104.947365	-6356.029	1940.3168	-1638.1318	-12248.999	6000	-1.9669533e-09	10078687.0	-0.03252665	-4460261.0	1.0074775	0.049529143	0.2145	79.0	598.2373507022858
3	-9804.171	5139.638	3316.0032	-17802.719	76.53846	-7294.0596	2251.551	-2691.6333	-16680.564	8000	5.4597855e-08	20192114.0	-0.03651211	-6293415.0	0.99282116	0.056861024	0.212	79.0	800.7759935855865
4	-7874.943	4470.5796	2934.357	-12441.918	57.85294	-5575.3984	1861.1459	-1940.8778	-17775.143	10000	-2.1338463e-08	17003256.0	-0.045010503	-1255879.0	0.900721	0.03276063	0.2315	79.0	1023.3451130390167
5	-7036.0596	5432.1587	3984.367	-15622.494	67.44827	-5357.005	2396.5786	-1910.8767	-20008.363	12000	-3.159046e-08	19001846.0	-0.027430758	-2496731.0	0.8641304	0.03167019	0.125	79.0	1231.4555883407593
6	-782.83746	5530.94	3473.268	-10419.778	66.89655	-3942.654	2603.4844	-584.1036	-12108.316	14000	7.4625014e-08	26605604.0	-0.029622579	-11168395.0	0.7654271	0.09193626	0.236	34.0	1431.2840204238892
7	-1411.0756	4963.758	3229.267	-9816.636	74.333336	-1958.4924	3220.3286	-0.36458296	-10082.121	16000	9.059906e-09	13664122.0	-0.02818044	-1125650.0	0.76974607	0.036371283	0.1365	79.0	1631.7174694538116
8	526.47015	3478.2144	3524.108	-9010.675	83.0	-2088.0254	3830.4749	284.81665	-10564.806	18000	0.0	9057252.0	-0.031894483	-2092199.5	0.73950267	0.023170687	0.1055	79.0	1842.1930646896362
9	434.85977	3182.2441	4536.0283	-11740.217	98.75	-1333.7333	4227.545	1956.3815	-10807.726	20000	5.6028364e-09	6534791.0	-0.03418709	-285732.0	0.74981	0.038938537	0.1655	79.0	2045.4890005588531
10	1023.1577	891.1795	2759.7964	-717.9876	97.55	-1876.1758	4625.3306	2457.423	-10222.228	22000	1.9073487e-09	4051652.0	-0.022327993	-779339.25	0.7536295	0.032080773	0.106	79.0	2270.7699229717255
11	759.2497	1178.161	2388.9692	-2304.9675	96.4	-1754.6735	5296.4663	3794.1182	-10880.217	24000	-8.34465e-09	3291582.2	-0.02471586	-333141.5	0.6849357	0.031719185	0.1295	79.0	2477.400734424591
12	-424.13956	2569.3787	2484.592	-8438.199	95.8	-2321.059	5262.729	3331.7769	-10893.264	26000	1.001358e-08	5169538.0	-0.02195742	-438768.5	0.6710414	0.030463057	0.1395	79.0	2689.194617986679
13	1013.0108	4097.6284	5842.5986	-9801.67	82.5	-1382.5629	4899.407	2982.0178	-10779.218	28000	-4.7683715e-09	8595456.0	-0.028532656	-636890.5	0.64351135	0.08248563	0.1215	23.0	2898.217008829117
14	309.10196	1750.946	3438.965	-3207.4907	105.0	-1193.818	4955.8833	3119.7913	-10410.012	30000	2.7418137e-09	3263412.2	-0.022135818	-183135.5	0.74740964	0.028392766	0.185	79.0	3104.367530107498
15	-979.02527	6676.655	3817.1995	-25876.922	118.125	-847.49835	4623.195	3472.6426	-11831.067	32000	-3.3974647e-08	21566346.0	-0.0393952	-8654863.0	0.6812673	0.04892235	0.165	79.0	3297.5416297912598
16	1834.1691	1203.28	4057.312	-865.5581	92.190475	-2184.3354	4276.9644	2074.7786	-10239.342	34000	-1.0967255e-08	8724668.0	-0.033675306	-5385715.5	0.6527858	0.03610153	0.1595	79.0	3512.9973514080048
17	776.4189	3382.333	3836.5496	-10026.192	79.96	-500.2993	5069.0376	3767.3027	-10689.362	36000	3.5762786e-09	7838400.5	-0.02107148	-525782.0	0.6207656	0.012011726	0.0705	79.0	3726.796672105789
18	2018.3822	1439.1255	5762.0737	-1207.7377	81.333336	-825.99725	4962.471	2867.8054	-10920.847	38000	-4.768372e-10	3674876.0	-0.031667247	-316017.75	0.57118934	0.023230368	0.0825	79.0	3951.6323692798615
19	1953.7675	2531.858	6426.0015	-8724.823	78.8	-196.9887	4867.649	3996.2046	-10801.682	40000	4.2915342e-09	5679756.0	-0.022836035	-420819.0	0.54065233	0.025668869	0.0845	79.0	4154.858543634415
20	1592.2147	1356.4989	3359.5125	-1899.5931	95.8	-1206.6047	5138.493	3228.4658	-10258.101	42000	0.0	3139061.8	-0.026818587	-298414.0	0.5892093	0.03462152	0.129	79.0	4380.596564769745
21	2230.781	1611.7947	5688.7056	-1644.4927	88.5	-581.5887	5282.867	4057.4646	-10499.57	44000	-2.3841857e-09	3013708.2	-0.025406031	-111387.0	0.53295326	0.023352714	0.0965	79.0	4581.501991987228
22	3146.17	1026.165	6569.9673	1488.439	80.125	190.08922	4841.845	3992.4714	-10550.59	46000	-1.1920929e-08	3152607.5	-0.026244022	-124597.75	0.41797212	0.027839996	0.099	79.0	4796.689445018768
23	3153.4287	1356.8864	6335.6465	-498.0481	81.666664	74.201996	5174.388	4078.1865	-10990.994	48000	-3.3378602e-09	3307200.0	-0.021522336	-131404.75	0.42576167	0.014179788	0.0655	79.0	5007.443473100662
24	2032.9	3112.983	4755.3057	-11419.006	81.166664	419.99142	5098.1904	4275.039	-10928.712	50000	2.169609e-08	6677166.5	-0.030168291	-2025222.0	0.44800323	0.01641201	0.11	79.0	5211.287128686905
25	2777.6687	1614.7019	5392.1646	-482.15106	82.541664	-355.86356	5119.6978	3668.3796	-25476.81	52000	-1.001358e-08	6183937.5	-0.03376338	-2467525.8	0.4147905	0.048980817	0.107	79.0	5418.275694608688
26	1708.6478	3716.5242	6203.848	-10883.665	82.666664	-214.6305	4810.96	4090.7573	-10484.876	54000	-3.3378602e-09	6132833.5	-0.02856078	-734159.0	0.40266433	0.08201654	0.1385	31.0	5621.947194576263
27	2146.8167	4521.7656	6860.717	-11307.008	76.65385	97.48402	4542.935	3901.5312	-14827.358	56000	-5.9604643e-10	14479334.0	-0.02996661	-3037873.0	0.3814671	0.022569066	0.1065	79.0	5840.916179895401
28	3680.1025	2845.4333	6501.755	-9976.858	73.703705	358.30295	4058.7388	3735.2122	-14389.545	58000	-1.1444092e-08	7808368.5	-0.03649286	-847373.5	0.3124777	0.07314415	0.2135	79.0	6059.8555064201355
29	2887.0547	1088.252	4660.1685	959.01154	109.888885	-484.3809	4398.3706	4139.808	-12682.858	60000	1.9431114e-08	10585706.0	-0.03531621	-4653009.5	0.4171305	0.03991686	0.104	79.0	6269.638925790787
30	2093.2603	3277.77	7174.611	-8759.666	124.4375	-898.65686	4782.022	5177.8726	-14054.724	62000	-1.6093255e-08	11728381.0	-0.037502714	-1500371.0	0.46142444	0.048084304	0.129	79.0	6468.595482826233
31	2358.523	2209.5654	7010.835	-1219.8264	150.53847	-962.6423	3983.002	4759.2837	-12787.048	64000	2.4080277e-08	7966536.5	-0.031969253	-2764658.5	0.4847151	0.022140693	0.1325	79.0	6678.930280447006
32	724.966	2250.616	5665.111	-2129.0742	221.77777	-1802.9625	4525.568	6288.8267	-11745.788	66000	-7.629395e-09	11267037.0	-0.026922561	-2884400.0	0.50830835	0.032251526	0.1355	79.0	6892.872139215469
33	-985.3076	4208.007	4062.8142	-9639.167	169.45454	-789.88416	4381.7876	6945.4116	-11272.032	68000	-2.861023e-09	11886585.0	-0.02555563	-1630527.0	0.4922417	0.02366545	0.113	79.0	7085.857890844345
34	397.36304	2295.302	5852.397	-3169.1284	185.3	-1171.9177	4372.7803	6543.5527	-11301.629	70000	1.8119811e-08	14634314.0	-0.024396164	-881552.0	0.47202617	0.038535792	0.161	79.0	7279.554521083832
35	831.43884	2954.6465	4950.915	-6701.0884	192.5	-1237.5105	4022.1604	5751.409	-11216.228	72000	-5.7816507e-09	17516974.0	-0.022086818	-1247416.0	0.4361165	0.02476605	0.088	79.0	7481.885846853256
36	12276.576	20660.281	51107.504	-2586.4187	218.0	-1501.0068	3985.391	6113.068	-10767.196	74000	7.7486035e-09	105495840.0	-0.018955784	-47812904.0	0.40403736	0.08092619	0.1155	41.0	7678.591846942902
37	843.12555	2872.6917	3533.8	-9304.871	92.666664	4102.8906	4858.833	15378.549	-9119.907	76000	1.7404556e-08	41197936.0	-0.035605486	-30943072.0	0.4780779	0.11388714	0.1525	26.0	7874.175333738327
38	-874.10266	3013.2087	4568.3774	-9847.823	109.333336	-2135.5715	5219.0093	5859.4067	-11446.385	78000	-2.8371812e-08	8469941.0	-0.03576926	-1150878.5	0.58592063	0.038377974	0.1195	79.0	8093.34072470665
39	-1334.6519	3048.8828	2408.8018	-8955.56	119.0	-2032.3137	5009.1426	4045.1074	-10593.23	80000	1.3947487e-08	8835786.0	-0.028116494	-831600.0	0.5386539	0.031293657	0.157	79.0	8298.844830036163
40	2928.87	11313.242	49329.086	-1530.2837	109.94444	-1451.7341	4917.1157	5757.6743	-10427.639	82000	-2.1457673e-08	38508428.0	-0.025027027	-20249790.0	0.4630376	0.09622457	0.1415	50.0	8513.067245721817
41	-827.942	3151.3428	2960.3118	-10243.42	96.8	-458.2411	5607.236	11231.372	-10342.444	84000	5.722046e-09	9146409.0	-0.025089415	-3557928.5	0.4924527	0.08066813	0.134	27.0	8718.432445049286
42	-1261.782	4625.2744	2553.3894	-16703.56	129.6	-1723.3607	5255.178	10031.627	-14841.639	86000	3.5762786e-09	13477698.0	-0.027593866	-6989182.0	0.4312911	0.024456097	0.1115	79.0	8931.143330812454
43	2286.697	19376.076	50454.16	-16028.095	212.25	-2355.751	5387.831	15475.216	-10983.183	88000	2.7656554e-08	34608452.0	-0.026320657	-12560132.0	0.49180973	0.03088721	0.162	79.0	9144.776846885681
44	13662.3955	21743.97	51524.477	-4819.4478	212.14285	1156.7273	8411.437	22491.418	-10731.379	90000	-1.4960765e-08	40142870.0	-0.02127968	-4752180.0	0.46482396	0.026710927	0.1025	79.0	9343.34772181511
45	14216.224	24244.9	52813.867	-6761.7886	190.2	3042.222	6841.057	23493.555	-10582.055	92000	4.339218e-08	75165870.0	-0.019633025	-8613772.0	0.36446875	0.021947403	0.07	79.0	9540.805837631226
46	30350.637	26051.553	53689.805	-9411.822	244.0	7635.917	8562.256	31877.092	-5061.833	94000	2.8848648e-08	67650264.0	-0.017148444	-11515548.0	0.32911357	0.016174167	0.061	79.0	9750.795793771744
47	22183.129	23323.887	52410.945	812.26526	203.28572	12635.16	9257.983	29018.307	-2361.4573	96000	-1.9073487e-09	159791700.0	-0.014536644	-72839020.0	0.29142782	0.007961086	0.0545	79.0	9947.447398424149
48	32261.832	24333.604	52592.26	-1833.0936	249.875	6285.286	3832.035	12515.286	-4967.1836	98000	-3.528595e-08	101011100.0	-0.024074908	-47059640.0	0.2996728	0.04185308	0.0935	79.0	10151.225085496902
49	5336.3496	23989.342	42371.812	-15000.413	327.0	7614.428	6972.9688	32282.98	-3863.8853	100000	-5.1379203e-08	102595120.0	-0.021916931	-57255880.0	0.48899296	0.033227686	0.141	79.0	10351.054660320282
50	16754.24	34011.496	51740.875	-35980.203	287.5	920.4134	7295.036	25195.957	-11461.229	102000	9.059906e-09	105380870.0	-0.035702128	-38034790.0	0.42345417	0.032535292	0.112	79.0	10546.015157222748
51	32363.04	24163.756	56348.875	374.63013	230.75	7379.1216	6980.321	24383.271	-8270.496	104000	-2.157688e-08	85191590.0	-0.019852562	-18942316.0	0.36258587	0.0152368	0.0795	79.0	10768.557556152344
52	28915.686	30039.795	53476.316	-14425.635	321.66666	8706.899	9760.258	32069.414	-9827.363	106000	-2.5510788e-08	63257444.0	-0.035494357	-9078684.0	0.3672824	0.06708572	0.1465	79.0	10978.519030809402
53	14034.516	25428.287	55690.32	-10991.824	181.5	6987.075	6752.2905	26347.855	-12319.657	108000	4.768372e-10	105064600.0	-0.01900646	-10447704.0	0.339956	0.014095181	0.0665	79.0	11182.122617006302
54	37610.57	23900.666	53376.137	-5559.78	223.875	6562.3867	7062.254	26927.994	-4923.072	110000	-9.536743e-09	127821870.0	-0.021251738	-41779656.0	0.31023064	0.040584113	0.0905	79.0	11391.241792678833
