Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
0	-15072.979	2838.5256	-9944.28	-22776.824	90.59091	0.19316477	0.14874405	0.41146162	-0.30847788	2000	-5.722046e-09	71100320.0	-0.0159237	-7606060.0	0.0060029477	0.0	273.6253592967987
1	-15246.842	1676.6692	-10868.458	-18470.65	92.2381	-475.8305	74.1705	-183.35205	-698.03424	4000	-3.98159e-08	62695016.0	-0.010209622	-45939572.0	0.0030718392	0.0	539.3061344623566
2	-17046.695	3462.9666	-11642.939	-27119.209	121.125	-4442.366	880.7497	-1042.159	-7000.6416	6000	1.6689301e-09	15204625.0	-0.009047315	-12186466.0	0.0040084133	0.0	819.4148714542389
3	-17962.086	3881.3828	-9530.137	-23575.604	138.42857	-7508.897	1342.9806	-3401.5012	-11490.9375	8000	-1.6689301e-09	3615881.5	-0.015293131	-321917.5	0.0067444877	0.0	1114.5820698738098
4	-14162.825	1925.6034	-8289.019	-16921.404	89.09091	-7629.133	1580.2941	-2106.6257	-12049.8125	10000	-1.3351441e-08	4774856.5	-0.019374711	-338455.5	0.0058112387	0.0	1377.8218388557434
5	-12786.275	2877.6367	-2467.5645	-18720.227	76.30769	-7702.61	1759.1404	-1627.9678	-13814.75	12000	6.437302e-09	6784699.5	-0.01483814	-458144.5	0.005111003	0.0	1647.3417208194733
6	-13405.249	2766.0088	-8188.039	-19437.576	85.521736	-7570.045	1634.2266	-2955.669	-11982.277	14000	8.106232e-09	4483461.0	-0.015351852	-569208.75	0.0057556047	0.0	1905.1611142158508
7	-12818.83	3963.788	642.0306	-22434.469	89.52381	-7463.226	1705.1068	-3094.355	-12966.845	16000	-1.3828277e-08	7291316.0	-0.012298572	-647047.0	0.0044338047	0.0	2172.4498631954193
8	-13005.658	1765.462	-10366.663	-16929.396	94.52381	-7299.7783	1615.6998	-2185.7031	-12406.126	18000	-1.6450882e-08	4851068.0	-0.012948833	-862932.0	0.0034565458	0.0	2438.9911394119263
9	-11557.367	4442.206	-355.27518	-16619.926	92.47619	-7433.306	2030.9757	-2587.9998	-15522.943	20000	-4.053116e-09	10755965.0	-0.013624563	-1243885.0	0.0038310646	0.0	2723.5367443561554
10	-9943.159	4606.4644	-647.9459	-16664.812	82.583336	-7135.173	2526.5017	-2549.1277	-14427.158	22000	-2.4795533e-08	13583650.0	-0.012561353	-1334361.0	0.004453246	0.0	3003.3882393836975
11	-9740.048	4271.1494	659.14355	-15536.97	73.666664	-6044.018	1930.6152	-2008.8304	-14673.177	24000	-2.1457671e-09	12028341.0	-0.009433967	-1307032.0	0.0026326827	0.0	3259.5669169425964
12	-8051.7114	5049.1875	2214.9788	-14897.175	79.416664	-6275.641	2412.7505	-1896.7396	-12980.323	26000	-2.9802323e-09	15732411.0	-0.016075185	-912820.0	0.0052097025	0.0	3528.579875946045
13	-8742.786	6296.4937	2220.9941	-18884.973	90.61905	-5551.112	2193.8113	-1600.6251	-12389.618	28000	8.34465e-09	16575674.0	-0.014951424	-590260.0	0.0050077983	0.0	3794.723435163498
14	-8588.579	4535.9917	2190.4136	-16653.457	80.583336	-5087.0586	2239.4849	-1150.9951	-14388.919	30000	-4.5895576e-09	15054161.0	-0.010474612	-547337.0	0.004591098	0.0	4060.7647008895874
